domain,query,attack,clean_f1,clean_lpips,clean_psnr,dp_f1,dp_lpips,dp_psnr
medical,pneumonia_descriptive,DLG,0.375,1.369535207748413,8.24621868133545,0.375,1.4055068492889404,8.27786636352539
medical,pneumonia_descriptive,IG,0.75,0.8681500554084778,10.130931854248047,0.375,0.7870339155197144,11.344989776611328
medical,pneumonia_descriptive,GradInversion,0.75,0.8856291770935059,8.579727172851562,0.5,0.8640525937080383,8.47633171081543
medical,pneumonia_descriptive,HF-GradInv,0.75,1.0071439743041992,11.73235034942627,0.125,0.7907435894012451,11.411978721618652
uav,solar_panels,DLG,0.0,1.2227270603179932,8.22346019744873,0.0,1.175793170928955,9.436098098754883
uav,solar_panels,IG,0.25,0.6864231824874878,12.02381706237793,0.0,0.7893940210342407,12.471376419067383
uav,solar_panels,GradInversion,0.25,0.700916051864624,10.411293983459473,0.0,0.7182648777961731,8.923088073730469
uav,solar_panels,HF-GradInv,0.125,0.6554222106933594,12.369148254394531,0.0,0.7470017671585083,12.550724029541016
